steamid,steamid64,name,nationality
0:1:15321475,76561197990908679,Blue-Shadow,fr
0:1:25748245,76561198011762219,Shiva,fr
0:0:11005407,76561197982276542,SALUT LUDO!!!,fr
0:0:9654629,76561197979574986,D3athRoW,fr
0:0:11025561,76561197982316850,Ult!mo,fr
0:1:2202936,76561197964671601,Judas,fr
0:1:4966421,76561197970198571,Mingebag,fr
0:1:12052914,76561197984371557,Helfik,fr
0:1:10882502,76561197982030733,impulse,fr
0:1:4777463,76561197969820655,AnGus,fr
0:0:3651760,76561197967569248,Carlatocer,fr
0:1:2426491,76561197965118711,Hephaistos,fr
0:0:20167924,76561198000601576,spazn,fr
0:1:5819791,76561197971905311,ToubifrY,fr
0:0:14670636,76561197989607000,Shad,fr
0:1:2947234,76561197966160197,KiX,fr
0:0:1209213,76561197962684154,BacchuS,fr
0:1:88433,76561197960442595,MouS,fr
0:0:10842243,76561197981950214,MouS,fr
0:0:4231623,76561197968728974,Jesus,fr
0:0:5509905,76561197971285538,magnum,fr
0:1:2877988,76561197966021705,Guirox,fr
0:0:1353347,76561197962972422,Didou,fr
0:0:5733008,76561197971731744,NeoCortex,fr
0:0:6504912,76561197973275552,Z!D@NoN,fr
0:0:10537910,76561197981341548,Chouette,fr
0:0:2314873,76561197964895474,rocK,fr
0:1:4054826,76561197968375381,Yeuse,fr
0:0:6475406,76561197973216540,Carnicid,fr
0:1:5074035,76561197970413799,ZeP,fr
0:0:2048184,76561197964362096,Brother_JL,fr
0:1:2417708,76561197965101145,taz13,fr
0:0:8901885,76561197978069498,piOCHe,fr
0:0:1372471,76561197963010670,MaFi4,fr
0:1:11617347,76561197983500423,rial,fr
0:1:21644433,76561198003554595,Estiro,fr
0:0:222418,76561197960710564,Tention,fr
0:0:583950,76561197961433628,Jawz,fr
0:0:162017,76561197960589762,Blacksun,fr
0:0:1858850,76561197963983428,ErsatZ,fr
0:0:1909131,76561197964083990,Cmoua,fr
0:0:23453,76561197960312634,Buri,fr
0:0:2368887,76561197965003502,CaRnaSSieR,fr
0:0:2663716,76561197965593160,KoRneR,fr
0:0:2981971,76561197966229670,Delpy,fr
0:0:33353,76561197960332434,Straight,fr
0:0:3096326,76561197966458380,OuTag,fr
0:0:1388809,76561197963043346,OuTag,fr
0:1:7754466,76561197975774661,OuTag,fr
0:0:1348503,76561197962962734,OuTag,fr
0:0:1349483,76561197962964694,OuTag,fr
0:1:14472045,76561197989209819,OuTag,fr
0:0:3567897,76561197967401522,kenny29,fr
0:1:665006,76561197961595741,RastacH,fr
0:1:7388385,76561197975042499,RealPlayer,fr
0:0:6181842,76561197972629412,Dr.Driller,fr
0:0:894616,76561197962054960,GlockX,fr
0:0:968198,76561197962202124,reem,fr
0:1:103154,76561197960472037,Zouuu,fr
0:1:1179491,76561197962624711,Marksman,fr
0:1:1226436,76561197962718601,Wedge-,fr
0:1:406833,76561197961079395,rCk,fr
0:1:4150157,76561197968566043,Parasite,fr
0:1:43360,76561197960352449,gNm,fr
0:0:2748485,76561197965762698,ultraNooBie,fr
0:0:1052025,76561197962369778,Stark,fr
0:0:10800,76561197960287328,mlv,fr
0:0:1172689,76561197962611106,Johnweb,fr
0:0:1436342,76561197963138412,ChuCky,fr
0:0:1538482,76561197963342692,TrouK,fr
0:0:1550198,76561197963366124,Bolletor,fr
0:0:161090,76561197960587908,Bunty,fr
0:0:1643537,76561197963552802,ikki,fr
0:0:172213,76561197960610154,Room,fr
0:0:2438899,76561197965143526,w0lv,fr
0:0:3335906,76561197966937540,CaRnaSSieR,fr
0:0:3214690,76561197966695108,Chicken,fr
0:0:30745,76561197960327218,reiNax,fr
0:0:3412681,76561197967091090,Cracat,fr
0:0:3239871,76561197966745470,NEPHARITE ANCYRITE,fr
0:1:72643,76561197960411015,Ev!l-oNe,fr
0:1:60318,76561197960386365,menzor,fr
0:1:632509,76561197961530747,Kni,fr
0:1:533965,76561197961333659,Redc@p,fr
0:0:5546717,76561197971359162,wolx,fr
0:0:562789,76561197961391306,JuSt,fr
0:0:613517,76561197961492762,$aGa,fr
0:1:5452057,76561197971169843,Staniksan,fr
0:1:5488719,76561197971243167,Nashnogwarf,fr
0:0:57276,76561197960380280,chance.bowman,fr
0:0:11584781,76561197983435290,pruno,fr
0:0:776541,76561197961818810,el-cobra,fr
0:0:929140,76561197962124008,Jules,fr
0:0:725471,76561197961716670,aklam,fr
0:1:1205174,76561197962676077,D3m0n,fr
0:1:117468,76561197960500665,Didou,fr
0:1:1179098,76561197962623925,Blutch,fr
0:1:1084739,76561197962435207,glaswynn,fr
0:1:1088302,76561197962442333,Bullrot,fr
0:1:1328394,76561197962922517,ClaRa,fr
0:1:1363753,76561197962993235,ShAn,fr
